:::MLLOG {"namespace": "", "time_ms": 1690378118277, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 437}}
:::MLLOG {"namespace": "", "time_ms": 1690378118554, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "/training_rundir/train.py", "lineno": 438}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "submission_benchmark", "value": "openfold", "metadata": {"file": "/training_rundir/train.py", "lineno": 439}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "submission_org", "value": "SUBMISSION_ORG_PLACEHOLDER", "metadata": {"file": "/training_rundir/train.py", "lineno": 439}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "submission_division", "value": "closed", "metadata": {"file": "/training_rundir/train.py", "lineno": 439}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "submission_status", "value": "onprem", "metadata": {"file": "/training_rundir/train.py", "lineno": 439}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "submission_platform", "value": "18xSUBMISSION_PLATFORM_PLACEHOLDER", "metadata": {"file": "/training_rundir/train.py", "lineno": 439}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "seed", "value": "1234567890", "metadata": {"file": "/training_rundir/train.py", "lineno": 440}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "number_of_ranks", "value": 36, "metadata": {"file": "/training_rundir/train.py", "lineno": 441}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "number_of_nodes", "value": 18, "metadata": {"file": "/training_rundir/train.py", "lineno": 442}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "accelerators_per_node", "value": 2, "metadata": {"file": "/training_rundir/train.py", "lineno": 443}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "global_batch_size", "value": 144, "metadata": {"file": "/training_rundir/train.py", "lineno": 444}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "gradient_accumulation_steps", "value": 1, "metadata": {"file": "/training_rundir/train.py", "lineno": 445}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "target_avg_lddt_ca_value", "value": 0.8, "metadata": {"file": "/training_rundir/train.py", "lineno": 449}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "train_max_pdb_release_date", "value": "2021-09-16", "metadata": {"file": "/training_rundir/train.py", "lineno": 450}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "val_min_cameo_submission_date", "value": "2021-09-17", "metadata": {"file": "/training_rundir/train.py", "lineno": 453}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "val_max_cameo_submission_date", "value": "2021-12-11", "metadata": {"file": "/training_rundir/train.py", "lineno": 456}}
:::MLLOG {"namespace": "", "time_ms": 1690378118555, "event_type": "POINT_IN_TIME", "key": "val_max_sequence_length", "value": 700, "metadata": {"file": "/training_rundir/train.py", "lineno": 459}}
:::MLLOG {"namespace": "", "time_ms": 1690378118556, "event_type": "POINT_IN_TIME", "key": "val_every_iters", "value": 40, "metadata": {"file": "/training_rundir/train.py", "lineno": 460}}
:::MLLOG {"namespace": "", "time_ms": 1690378118558, "event_type": "POINT_IN_TIME", "key": "precision", "value": "tf32", "metadata": {"file": "/training_rundir/train.py", "lineno": 474}}
:::MLLOG {"namespace": "", "time_ms": 1690378122751, "event_type": "POINT_IN_TIME", "key": "train_sequence_crop_size", "value": 256, "metadata": {"file": "/training_rundir/train.py", "lineno": 489}}
:::MLLOG {"namespace": "", "time_ms": 1690378122751, "event_type": "POINT_IN_TIME", "key": "num_recycling_iters", "value": 3, "metadata": {"file": "/training_rundir/train.py", "lineno": 492}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "max_msa_clusters", "value": 124, "metadata": {"file": "/training_rundir/train.py", "lineno": 495}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "max_extra_msa", "value": 1024, "metadata": {"file": "/training_rundir/train.py", "lineno": 496}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "templates_enabled", "value": true, "metadata": {"file": "/training_rundir/train.py", "lineno": 497}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "max_templates", "value": 4, "metadata": {"file": "/training_rundir/train.py", "lineno": 498}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "fape_loss_weight", "value": 1.0, "metadata": {"file": "/training_rundir/train.py", "lineno": 502}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "fape_loss_backbone_weight", "value": 0.5, "metadata": {"file": "/training_rundir/train.py", "lineno": 503}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "fape_loss_sidechain_weight", "value": 0.5, "metadata": {"file": "/training_rundir/train.py", "lineno": 507}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "supervised_chi_loss_weight", "value": 1.0, "metadata": {"file": "/training_rundir/train.py", "lineno": 511}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "distogram_loss_weight", "value": 0.3, "metadata": {"file": "/training_rundir/train.py", "lineno": 515}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "masked_msa_loss_weight", "value": 2.0, "metadata": {"file": "/training_rundir/train.py", "lineno": 518}}
:::MLLOG {"namespace": "", "time_ms": 1690378122752, "event_type": "POINT_IN_TIME", "key": "plddt_loss_weight", "value": 0.01, "metadata": {"file": "/training_rundir/train.py", "lineno": 521}}
:::MLLOG {"namespace": "", "time_ms": 1690378122763, "event_type": "POINT_IN_TIME", "key": "opt_name", "value": "Adam", "metadata": {"file": "/training_rundir/train.py", "lineno": 537}}
:::MLLOG {"namespace": "", "time_ms": 1690378122763, "event_type": "POINT_IN_TIME", "key": "opt_base_learning_rate", "value": 0.001, "metadata": {"file": "/training_rundir/train.py", "lineno": 538}}
:::MLLOG {"namespace": "", "time_ms": 1690378122763, "event_type": "POINT_IN_TIME", "key": "opt_adam_beta_1", "value": 0.9, "metadata": {"file": "/training_rundir/train.py", "lineno": 539}}
:::MLLOG {"namespace": "", "time_ms": 1690378122763, "event_type": "POINT_IN_TIME", "key": "opt_adam_beta_2", "value": 0.999, "metadata": {"file": "/training_rundir/train.py", "lineno": 543}}
:::MLLOG {"namespace": "", "time_ms": 1690378122763, "event_type": "POINT_IN_TIME", "key": "opt_adam_epsilon", "value": 1e-06, "metadata": {"file": "/training_rundir/train.py", "lineno": 547}}
:::MLLOG {"namespace": "", "time_ms": 1690378122764, "event_type": "POINT_IN_TIME", "key": "opt_weight_decay", "value": 0.0, "metadata": {"file": "/training_rundir/train.py", "lineno": 551}}
:::MLLOG {"namespace": "", "time_ms": 1690378122764, "event_type": "POINT_IN_TIME", "key": "opt_amsgrad", "value": false, "metadata": {"file": "/training_rundir/train.py", "lineno": 555}}
:::MLLOG {"namespace": "", "time_ms": 1690378122764, "event_type": "POINT_IN_TIME", "key": "opt_gradient_clipping", "value": true, "metadata": {"file": "/training_rundir/train.py", "lineno": 556}}
:::MLLOG {"namespace": "", "time_ms": 1690378122764, "event_type": "POINT_IN_TIME", "key": "opt_gradient_clip_norm", "value": 0.1, "metadata": {"file": "/training_rundir/train.py", "lineno": 559}}
:::MLLOG {"namespace": "", "time_ms": 1690378122764, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_warmup_init", "value": 1e-05, "metadata": {"file": "/training_rundir/train.py", "lineno": 571}}
:::MLLOG {"namespace": "", "time_ms": 1690378122764, "event_type": "POINT_IN_TIME", "key": "opt_learning_rate_warmup_steps", "value": 0, "metadata": {"file": "/training_rundir/train.py", "lineno": 572}}
:::MLLOG {"namespace": "", "time_ms": 1690378129345, "event_type": "POINT_IN_TIME", "key": "init_checkpoint_sha256sum", "value": "b518be4677048f2c0f94889c91e2da73655a73b825a8aa7f8b6f5e580d8ffbed", "metadata": {"file": "/training_rundir/train.py", "lineno": 585}}
:::MLLOG {"namespace": "", "time_ms": 1690378129680, "event_type": "POINT_IN_TIME", "key": "swa_enabled", "value": true, "metadata": {"file": "/training_rundir/train.py", "lineno": 593}}
:::MLLOG {"namespace": "", "time_ms": 1690378129680, "event_type": "POINT_IN_TIME", "key": "swa_decay_rate", "value": 0.9, "metadata": {"file": "/training_rundir/train.py", "lineno": 594}}
:::MLLOG {"namespace": "", "time_ms": 1690378130653, "event_type": "POINT_IN_TIME", "key": "model_parameters_count", "value": 93229082, "metadata": {"file": "/training_rundir/train.py", "lineno": 601}}
:::MLLOG {"namespace": "", "time_ms": 1690378130654, "event_type": "POINT_IN_TIME", "key": "staging_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 617}}
:::MLLOG {"namespace": "", "time_ms": 1690378130654, "event_type": "POINT_IN_TIME", "key": "staging_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 624, "staging_duration": 3.0710361897945404e-07, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690378130654, "event_type": "POINT_IN_TIME", "key": "tracked_stats", "value": {"staging_duration": 3.0710361897945404e-07}, "metadata": {"file": "/training_rundir/train.py", "lineno": 629, "step": 0, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690378130666, "event_type": "INTERVAL_END", "key": "init_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 637}}
:::MLLOG {"namespace": "", "time_ms": 1690378130666, "event_type": "INTERVAL_START", "key": "run_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 637}}
:::MLLOG {"namespace": "", "time_ms": 1690378151759, "event_type": "POINT_IN_TIME", "key": "train_samples", "value": 594595, "metadata": {"file": "/training_rundir/train.py", "lineno": 651}}
:::MLLOG {"namespace": "", "time_ms": 1690378163510, "event_type": "POINT_IN_TIME", "key": "eval_samples", "value": 180, "metadata": {"file": "/training_rundir/train.py", "lineno": 669}}
:::MLLOG {"namespace": "", "time_ms": 1690378163981, "event_type": "POINT_IN_TIME", "key": "initial_training_dataloader_type", "value": "InitialTrainingDataloaderPT", "metadata": {"file": "/training_rundir/train.py", "lineno": 715}}
:::MLLOG {"namespace": "", "time_ms": 1690378163982, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 5760, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690379118638, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 5760, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690379118652, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 5760, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690379196854, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7764659873313374, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 5760, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690379199467, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 5760, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690379199468, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 11520, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690380081161, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 11520, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690380081176, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 11520, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690380154621, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7773324312435256, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 11520, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690380156886, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 11520, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690380156887, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 17280, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381039450, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 17280, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381039466, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 17280, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381113177, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7804952796962527, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 17280, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381115288, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 17280, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381115289, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 23040, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381996842, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 23040, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690381996855, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 23040, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690382070470, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.785528899066978, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 23040, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690382072605, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 23040, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690382072606, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 28800, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690382954454, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 28800, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690382954467, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 28800, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383027917, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.783262257443534, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 28800, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383030022, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 28800, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383030022, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 34560, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383914097, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 34560, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383914111, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 34560, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383987522, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7851852665344874, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 34560, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383989620, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 34560, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690383989621, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 40320, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690384871550, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 40320, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690384871563, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 40320, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690384945052, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.7888569260636965, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 40320, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690384947197, "event_type": "INTERVAL_END", "key": "eval_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 923, "epoch_num": 40320, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690384947198, "event_type": "INTERVAL_START", "key": "epoch_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 738, "epoch_num": 46080, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690385827909, "event_type": "INTERVAL_END", "key": "epoch_stop", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 847, "epoch_num": 46080, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690385827924, "event_type": "INTERVAL_START", "key": "eval_start", "value": null, "metadata": {"file": "/training_rundir/train.py", "lineno": 857, "epoch_num": 46080, "instance": 0}}
:::MLLOG {"namespace": "", "time_ms": 1690385901274, "event_type": "POINT_IN_TIME", "key": "eval_accuracy", "value": 0.79117218653361, "metadata": {"file": "/training_rundir/train.py", "lineno": 891, "epoch_num": 46080, "instance": 0}}
